OrderID,OrderDate,ShipDate,ShipMode,CustomerID,ProductID,Region,Country,Quantity,UnitPrice,Discount,SalesAmount,CostAmount,Profit,PaymentMethod,ReturnStatus,ManagerEmail
ORD-20230024,2024-11-16,2024-11-17,Second Class,CUST-1073,PRD-104,West,India,5,80.58,0.1,362.61,300,62.61,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20230025,2023-04-28,2023-04-30,Same Day,CUST-1040,PRD-102,Asia-Pac,Singapore,5,1297.45,0.2,5189.8,4750,439.8,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230026,2023-07-23,2023-07-24,First Class,CUST-1076,PRD-112,US-West,USA,4,396.51,0.0,1586.04,1120,466.04,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20230027,2024-08-02,2024-08-03,First Class,CUST-1045,PRD-109,North,India,6,86.82,0.0,520.92,390,130.92,Credit Card,Delivered,north.manager@ysm.com
ORD-20230028,2024-05-16,2024-05-17,Same Day,CUST-1056,PRD-106,West,India,8,330.51,0.05,2511.88,1920,591.88,UPI,Delivered,west.manager@ysm.com
ORD-20230029,2024-10-28,2024-10-31,Same Day,CUST-1079,PRD-113,US-West,USA,8,645.27,0.15,4387.84,3600,787.84,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20230030,2023-09-09,2023-09-10,Same Day,CUST-1036,PRD-115,Asia-Pac,Singapore,8,46.91,0.2,300.22,280,20.22,Net Banking,Returned,apac.manager@ysm.com
ORD-20230031,2023-11-29,2023-12-01,First Class,CUST-1063,PRD-104,Europe,Germany,5,79.26,0.1,356.67,300,56.67,Cash on Delivery,Delivered,eu.manager@ysm.com
ORD-20230032,2023-10-10,2023-10-15,Same Day,CUST-1002,PRD-109,West,India,2,93.57,0.05,177.78,130,47.78,Debit Card,Delivered,west.manager@ysm.com
ORD-20230033,2023-09-04,2023-09-10,Standard Class,CUST-1061,PRD-111,South,India,8,306.32,0.0,2450.56,1760,690.56,Net Banking,Delivered,south.manager@ysm.com
ORD-20230034,2024-12-09,2024-12-11,First Class,CUST-1040,PRD-111,Asia-Pac,Singapore,8,300.59,0.2,1923.78,1760,163.78,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230035,2024-07-17,2024-07-20,Second Class,CUST-1046,PRD-112,US-Central,USA,5,375.41,0.1,1689.35,1400,289.35,Credit Card,Delivered,us.manager@ysm.com
ORD-20230036,2023-11-20,2023-11-21,Second Class,CUST-1096,PRD-109,Asia-Pac,UAE,3,93.61,0.05,266.79,195,71.79,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230037,2024-08-26,2024-08-31,Second Class,CUST-1077,PRD-105,South,India,4,101.23,0.1,364.43,280,84.43,Net Banking,Delivered,south.manager@ysm.com
ORD-20230038,2023-01-15,2023-01-21,First Class,CUST-1069,PRD-103,West,India,1,1043.89,0.2,835.11,800,35.11,UPI,Delivered,west.manager@ysm.com
ORD-20230039,2024-05-17,2024-05-18,First Class,CUST-1002,PRD-110,West,India,8,196.03,0.15,1333.0,1200,133.0,UPI,Delivered,west.manager@ysm.com
ORD-20230040,2023-09-16,2023-09-20,Standard Class,CUST-1015,PRD-114,Asia-Pac,UAE,8,138.94,0.0,1111.52,880,231.52,UPI,Delivered,apac.manager@ysm.com
ORD-20230041,2024-07-30,2024-08-02,Second Class,CUST-1011,PRD-104,West,India,7,76.42,0.2,427.95,420,7.95,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20230042,2024-03-29,2024-04-01,Standard Class,CUST-1076,PRD-107,US-West,USA,10,498.21,0.0,4982.1,3800,1182.1,UPI,Delivered,us.manager@ysm.com
ORD-20230043,2023-09-28,2023-10-04,Second Class,CUST-1011,PRD-103,West,India,9,1038.38,0.0,9345.42,7200,2145.42,Credit Card,Delivered,west.manager@ysm.com
ORD-20230044,2024-12-06,2024-12-11,Same Day,CUST-1061,PRD-105,South,India,5,87.96,0.1,395.82,350,45.82,Credit Card,Delivered,south.manager@ysm.com
ORD-20230045,2023-09-28,2023-10-04,Standard Class,CUST-1076,PRD-111,US-West,USA,4,310.37,0.15,1055.26,880,175.26,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20230046,2023-06-02,2023-06-05,First Class,CUST-1019,PRD-102,US-East,USA,5,1198.83,0.2,4795.32,4750,45.32,Debit Card,Delivered,us.manager@ysm.com
ORD-20230047,2024-12-06,2024-12-09,Same Day,CUST-1090,PRD-107,South,India,9,546.64,0.2,3935.81,3420,515.81,Debit Card,Delivered,south.manager@ysm.com
ORD-20230048,2023-02-10,2023-02-14,Second Class,CUST-1095,PRD-106,South,India,1,328.98,0.0,328.98,240,88.98,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20230049,2023-01-22,2023-01-28,Same Day,CUST-1035,PRD-110,South,India,3,188.71,0.15,481.21,450,31.21,Net Banking,Delivered,south.manager@ysm.com
ORD-20230050,2024-08-22,2024-08-26,First Class,CUST-1082,PRD-114,US-Central,USA,2,148.32,0.15,252.14,220,32.14,Debit Card,Delivered,us.manager@ysm.com
ORD-20230051,2024-11-17,2024-11-18,Same Day,CUST-1021,PRD-106,Asia-Pac,Singapore,8,319.76,0.1,2302.27,1920,382.27,Cash on Delivery,Returned,apac.manager@ysm.com
ORD-20230052,2023-04-01,2023-04-04,Standard Class,CUST-1033,PRD-106,Europe,Germany,7,305.56,0.2,1711.14,1680,31.14,Cash on Delivery,Delivered,eu.manager@ysm.com
ORD-20230053,2023-02-25,2023-02-27,Standard Class,CUST-1067,PRD-106,South,India,8,329.89,0.15,2243.25,1920,323.25,UPI,Delivered,south.manager@ysm.com
ORD-20230054,2023-05-15,2023-05-18,Second Class,CUST-1057,PRD-115,Asia-Pac,UAE,2,48.64,0.0,97.28,70,27.28,UPI,Delivered,apac.manager@ysm.com
ORD-20230055,2023-01-15,2023-01-20,Standard Class,CUST-1053,PRD-102,West,India,2,1230.19,0.15,2091.32,1900,191.32,UPI,Delivered,west.manager@ysm.com
ORD-20230056,2023-10-26,2023-10-31,Second Class,CUST-1091,PRD-105,North,India,8,93.32,0.15,634.58,560,74.58,Debit Card,Delivered,north.manager@ysm.com
ORD-20230057,2024-01-28,2024-01-30,First Class,CUST-1077,PRD-109,South,India,3,90.95,0.0,272.85,195,77.85,Debit Card,Delivered,south.manager@ysm.com
ORD-20230058,2024-06-03,2024-06-06,Same Day,CUST-1001,PRD-105,East,India,10,97.66,0.2,781.28,700,81.28,UPI,Delivered,east.manager@ysm.com
ORD-20230059,2024-05-10,2024-05-13,First Class,CUST-1043,PRD-109,Europe,UK,7,91.17,0.15,542.46,455,87.46,UPI,Delivered,eu.manager@ysm.com
ORD-20230060,2023-09-02,2023-09-07,First Class,CUST-1050,PRD-104,South,India,7,85.27,0.0,596.89,420,176.89,Debit Card,Delivered,south.manager@ysm.com
ORD-20230061,2024-01-26,2024-01-30,Standard Class,CUST-1085,PRD-113,West,India,3,636.37,0.15,1622.74,1350,272.74,UPI,Delivered,west.manager@ysm.com
ORD-20230062,2024-08-27,2024-08-30,Same Day,CUST-1013,PRD-114,South,India,2,156.09,0.2,249.74,220,29.74,Credit Card,Delivered,south.manager@ysm.com
ORD-20230063,2024-02-24,2024-03-01,Same Day,CUST-1020,PRD-102,Europe,UK,5,1276.7,0.1,5745.15,4750,995.15,Credit Card,Delivered,eu.manager@ysm.com
ORD-20230064,2024-11-21,2024-11-26,Standard Class,CUST-1049,PRD-106,East,India,8,330.09,0.2,2112.58,1920,192.58,Cash on Delivery,Delivered,east.manager@ysm.com
ORD-20230065,2024-10-08,2024-10-14,Standard Class,CUST-1037,PRD-104,US-East,USA,7,83.96,0.0,587.72,420,167.72,Debit Card,Delivered,us.manager@ysm.com
ORD-20230066,2023-11-03,2023-11-04,First Class,CUST-1006,PRD-106,US-East,USA,5,338.21,0.1,1521.94,1200,321.94,Debit Card,Delivered,us.manager@ysm.com
ORD-20230067,2024-06-27,2024-07-01,Standard Class,CUST-1073,PRD-111,West,India,3,309.87,0.05,883.13,660,223.13,Cash on Delivery,Delivered,west.manager@ysm.com
ORD-20230068,2024-09-26,2024-10-02,Same Day,CUST-1031,PRD-108,US-West,USA,3,107.44,0.05,306.2,225,81.2,Net Banking,Delivered,us.manager@ysm.com
ORD-20230069,2024-11-13,2024-11-14,Standard Class,CUST-1060,PRD-115,US-East,USA,9,45.76,0.05,391.25,315,76.25,Debit Card,Delivered,us.manager@ysm.com
ORD-20230070,2024-08-24,2024-08-27,Second Class,CUST-1082,PRD-107,US-Central,USA,8,527.46,0.1,3797.71,3040,757.71,Debit Card,Delivered,us.manager@ysm.com
ORD-20230071,2023-04-20,2023-04-22,Standard Class,CUST-1049,PRD-110,East,India,5,198.27,0.1,892.22,750,142.22,Debit Card,Delivered,east.manager@ysm.com
ORD-20230072,2024-08-02,2024-08-08,First Class,CUST-1100,PRD-112,Europe,UK,10,404.52,0.15,3438.42,2800,638.42,UPI,Delivered,eu.manager@ysm.com
ORD-20230073,2023-12-27,2023-12-29,Standard Class,CUST-1082,PRD-104,US-Central,USA,3,82.45,0.0,247.35,180,67.35,Net Banking,Delivered,us.manager@ysm.com
ORD-20230074,2023-02-04,2023-02-09,Same Day,CUST-1047,PRD-112,Europe,UK,5,357.36,0.1,1608.12,1400,208.12,UPI,Delivered,eu.manager@ysm.com
ORD-20230075,2024-07-06,2024-07-09,Same Day,CUST-1068,PRD-109,West,India,3,93.13,0.1,251.45,195,56.45,Net Banking,Delivered,west.manager@ysm.com
ORD-20230076,2023-12-13,2023-12-14,First Class,CUST-1060,PRD-102,US-East,USA,4,1214.24,0.15,4128.42,3800,328.42,Credit Card,Delivered,us.manager@ysm.com
ORD-20230077,2023-01-15,2023-01-18,Same Day,CUST-1069,PRD-102,West,India,5,1273.91,0.2,5095.64,4750,345.64,Net Banking,Delivered,west.manager@ysm.com
ORD-20230078,2023-08-28,2023-09-01,Second Class,CUST-1004,PRD-110,South,India,9,214.03,0.1,1733.64,1350,383.64,Credit Card,Delivered,south.manager@ysm.com
ORD-20230079,2024-04-20,2024-04-26,Standard Class,CUST-1039,PRD-111,West,India,3,292.97,0.0,878.91,660,218.91,Net Banking,Delivered,west.manager@ysm.com
ORD-20230080,2023-04-29,2023-04-30,First Class,CUST-1031,PRD-115,US-West,USA,7,47.51,0.15,282.68,245,37.68,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20230081,2023-06-08,2023-06-12,First Class,CUST-1084,PRD-102,East,India,10,1345.9,0.15,11440.15,9500,1940.15,Credit Card,Delivered,east.manager@ysm.com
ORD-20230082,2023-08-11,2023-08-15,First Class,CUST-1057,PRD-104,Asia-Pac,UAE,2,85.27,0.1,153.49,120,33.49,Credit Card,Delivered,apac.manager@ysm.com
ORD-20230083,2023-07-14,2023-07-15,Standard Class,CUST-1059,PRD-102,Asia-Pac,Singapore,10,1313.43,0.0,13134.3,9500,3634.3,Net Banking,Delivered,apac.manager@ysm.com
ORD-20230084,2023-05-09,2023-05-14,Second Class,CUST-1027,PRD-102,West,India,9,1345.17,0.05,11501.2,8550,2951.2,UPI,Delivered,west.manager@ysm.com
ORD-20230085,2023-06-01,2023-06-06,First Class,CUST-1001,PRD-105,East,India,3,99.52,0.05,283.63,210,73.63,UPI,Delivered,east.manager@ysm.com
ORD-20230086,2023-01-27,2023-01-29,First Class,CUST-1002,PRD-106,West,India,4,337.92,0.2,1081.34,960,121.34,Credit Card,Delivered,west.manager@ysm.com
ORD-20230087,2023-02-23,2023-02-25,Same Day,CUST-1095,PRD-107,South,India,2,514.98,0.15,875.47,760,115.47,Net Banking,Delivered,south.manager@ysm.com
ORD-20230088,2023-04-22,2023-04-26,First Class,CUST-1065,PRD-104,Europe,Germany,1,86.34,0.2,69.07,60,9.07,Debit Card,Delivered,eu.manager@ysm.com
ORD-20230089,2023-02-01,2023-02-02,Same Day,CUST-1062,PRD-114,Asia-Pac,Singapore,2,146.34,0.15,248.78,220,28.78,Credit Card,Delivered,apac.manager@ysm.com
ORD-20230090,2023-11-26,2023-12-01,First Class,CUST-1019,PRD-102,US-East,USA,10,1211.48,0.2,9691.84,9500,191.84,Debit Card,Delivered,us.manager@ysm.com
ORD-20230091,2024-06-27,2024-06-30,Second Class,CUST-1059,PRD-109,Asia-Pac,Singapore,2,89.12,0.0,178.24,130,48.24,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230092,2023-08-22,2023-08-26,First Class,CUST-1044,PRD-114,US-East,USA,7,147.48,0.0,1032.36,770,262.36,Debit Card,Delivered,us.manager@ysm.com
ORD-20230093,2023-09-19,2023-09-22,Standard Class,CUST-1020,PRD-111,Europe,UK,2,315.61,0.0,631.22,440,191.22,Credit Card,Delivered,eu.manager@ysm.com
ORD-20230094,2024-01-17,2024-01-19,First Class,CUST-1072,PRD-101,South,India,9,1162.2,0.2,8367.84,7650,717.84,Credit Card,Delivered,south.manager@ysm.com
ORD-20230095,2024-11-12,2024-11-16,First Class,CUST-1093,PRD-101,Asia-Pac,UAE,10,1227.13,0.1,11044.17,8500,2544.17,Credit Card,Delivered,apac.manager@ysm.com
ORD-20230096,2023-08-06,2023-08-08,First Class,CUST-1085,PRD-108,West,India,2,97.11,0.1,174.8,150,24.8,Credit Card,Delivered,west.manager@ysm.com
ORD-20230097,2024-08-10,2024-08-12,Standard Class,CUST-1055,PRD-114,South,India,10,149.84,0.2,1198.72,1100,98.72,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20230098,2024-12-11,2024-12-14,First Class,CUST-1004,PRD-103,South,India,5,1043.72,0.1,4696.74,4000,696.74,Credit Card,Delivered,south.manager@ysm.com
ORD-20230099,2023-05-27,2023-06-01,Second Class,CUST-1085,PRD-107,West,India,1,480.29,0.0,480.29,380,100.29,Debit Card,Delivered,west.manager@ysm.com
ORD-20230100,2023-12-16,2023-12-18,Standard Class,CUST-1048,PRD-105,Asia-Pac,UAE,10,97.6,0.2,780.8,700,80.8,Credit Card,Delivered,apac.manager@ysm.com
ORD-20230101,2024-09-24,2024-09-25,Same Day,CUST-1087,PRD-102,Europe,Germany,7,1239.2,0.15,7373.24,6650,723.24,Debit Card,Delivered,eu.manager@ysm.com
ORD-20230102,2024-06-08,2024-06-09,First Class,CUST-1045,PRD-107,North,India,10,483.43,0.15,4109.15,3800,309.15,Credit Card,Delivered,north.manager@ysm.com
ORD-20230103,2024-09-05,2024-09-06,First Class,CUST-1001,PRD-104,East,India,4,78.62,0.05,298.76,240,58.76,Net Banking,Delivered,east.manager@ysm.com
ORD-20230104,2023-01-08,2023-01-12,Second Class,CUST-1096,PRD-107,Asia-Pac,UAE,7,488.35,0.2,2734.76,2660,74.76,Cash on Delivery,Delivered,apac.manager@ysm.com
ORD-20230105,2024-11-15,2024-11-18,Standard Class,CUST-1010,PRD-107,East,India,1,540.49,0.15,459.42,380,79.42,Debit Card,Delivered,east.manager@ysm.com
ORD-20230106,2023-11-17,2023-11-22,Standard Class,CUST-1055,PRD-110,South,India,7,199.63,0.1,1257.67,1050,207.67,Debit Card,Returned,south.manager@ysm.com
ORD-20230107,2023-11-29,2023-12-01,Same Day,CUST-1080,PRD-108,West,India,6,106.23,0.0,637.38,450,187.38,Credit Card,Delivered,west.manager@ysm.com
ORD-20230108,2024-08-26,2024-08-30,Second Class,CUST-1068,PRD-102,West,India,5,1262.7,0.1,5682.15,4750,932.15,Net Banking,Delivered,west.manager@ysm.com
ORD-20230109,2023-03-20,2023-03-25,First Class,CUST-1082,PRD-102,US-Central,USA,4,1288.31,0.1,4637.92,3800,837.92,UPI,Delivered,us.manager@ysm.com
ORD-20230110,2023-05-30,2023-06-02,Same Day,CUST-1026,PRD-103,North,India,2,1096.38,0.05,2083.12,1600,483.12,Debit Card,Delivered,north.manager@ysm.com
ORD-20230111,2024-08-16,2024-08-20,First Class,CUST-1088,PRD-115,North,India,10,49.92,0.1,449.28,350,99.28,UPI,Delivered,north.manager@ysm.com
ORD-20230112,2024-04-25,2024-04-29,First Class,CUST-1081,PRD-105,Europe,Germany,10,98.65,0.0,986.5,700,286.5,Cash on Delivery,Delivered,eu.manager@ysm.com
ORD-20230113,2024-04-17,2024-04-21,Standard Class,CUST-1005,PRD-101,South,India,5,1125.19,0.0,5625.95,4250,1375.95,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20230114,2024-01-29,2024-02-02,Second Class,CUST-1075,PRD-109,US-Central,USA,1,93.66,0.15,79.61,65,14.61,Net Banking,Delivered,us.manager@ysm.com
ORD-20230115,2024-05-28,2024-05-30,Second Class,CUST-1008,PRD-108,South,India,6,95.3,0.0,571.8,450,121.8,Credit Card,Delivered,south.manager@ysm.com
ORD-20230116,2024-03-24,2024-03-28,First Class,CUST-1068,PRD-109,West,India,6,89.18,0.1,481.57,390,91.57,Debit Card,Delivered,west.manager@ysm.com
ORD-20230117,2023-12-13,2023-12-19,First Class,CUST-1077,PRD-101,South,India,6,1196.67,0.0,7180.02,5100,2080.02,Credit Card,Delivered,south.manager@ysm.com
ORD-20230118,2024-01-31,2024-02-03,First Class,CUST-1033,PRD-112,Europe,Germany,10,397.69,0.05,3778.05,2800,978.05,Credit Card,Delivered,eu.manager@ysm.com
ORD-20230119,2023-05-25,2023-05-28,Standard Class,CUST-1040,PRD-111,Asia-Pac,Singapore,7,305.73,0.05,2033.1,1540,493.1,Net Banking,Delivered,apac.manager@ysm.com
ORD-20230120,2024-10-20,2024-10-23,Same Day,CUST-1017,PRD-111,North,India,9,305.92,0.0,2753.28,1980,773.28,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20230121,2024-01-07,2024-01-10,Second Class,CUST-1024,PRD-104,South,India,8,79.1,0.05,601.16,480,121.16,UPI,Delivered,south.manager@ysm.com
ORD-20230122,2023-10-30,2023-10-31,First Class,CUST-1065,PRD-113,Europe,Germany,9,611.08,0.0,5499.72,4050,1449.72,Cash on Delivery,Delivered,eu.manager@ysm.com
ORD-20230123,2024-01-21,2024-01-23,Same Day,CUST-1021,PRD-103,Asia-Pac,Singapore,10,1133.02,0.05,10763.69,8000,2763.69,Credit Card,Delivered,apac.manager@ysm.com
ORD-20230124,2024-11-23,2024-11-29,Second Class,CUST-1031,PRD-108,US-West,USA,8,102.91,0.05,782.12,600,182.12,Net Banking,Delivered,us.manager@ysm.com
ORD-20230125,2024-04-25,2024-04-27,First Class,CUST-1048,PRD-111,Asia-Pac,UAE,8,316.67,0.15,2153.36,1760,393.36,Debit Card,Delivered,apac.manager@ysm.com
ORD-20230126,2024-03-04,2024-03-06,Same Day,CUST-1026,PRD-113,North,India,5,616.92,0.0,3084.6,2250,834.6,Net Banking,Delivered,north.manager@ysm.com
ORD-20230127,2023-04-16,2023-04-22,First Class,CUST-1067,PRD-114,South,India,2,140.24,0.05,266.46,220,46.46,Debit Card,Delivered,south.manager@ysm.com
ORD-20230128,2023-05-31,2023-06-04,Standard Class,CUST-1012,PRD-115,Asia-Pac,UAE,8,45.3,0.1,326.16,280,46.16,Debit Card,Returned,apac.manager@ysm.com
ORD-20230129,2024-05-29,2024-06-01,Standard Class,CUST-1031,PRD-107,US-West,USA,6,550.58,0.05,3138.31,2280,858.31,Net Banking,Delivered,us.manager@ysm.com
ORD-20230130,2024-10-27,2024-10-30,Same Day,CUST-1019,PRD-103,US-East,USA,8,1006.13,0.05,7646.59,6400,1246.59,Debit Card,Delivered,us.manager@ysm.com
ORD-20230131,2023-03-23,2023-03-24,Same Day,CUST-1033,PRD-104,Europe,Germany,9,85.02,0.2,612.14,540,72.14,Credit Card,Delivered,eu.manager@ysm.com
ORD-20230132,2023-09-01,2023-09-04,Standard Class,CUST-1016,PRD-101,Europe,UK,10,1103.03,0.15,9375.75,8500,875.75,Credit Card,Delivered,eu.manager@ysm.com
ORD-20230133,2024-05-26,2024-05-31,Second Class,CUST-1069,PRD-101,West,India,10,1169.93,0.05,11114.34,8500,2614.34,Net Banking,Delivered,west.manager@ysm.com
ORD-20230134,2024-09-21,2024-09-24,First Class,CUST-1031,PRD-110,US-West,USA,2,200.0,0.2,320.0,300,20.0,Credit Card,Delivered,us.manager@ysm.com
ORD-20230135,2024-07-11,2024-07-16,Same Day,CUST-1065,PRD-109,Europe,Germany,8,81.51,0.0,652.08,520,132.08,Net Banking,Delivered,eu.manager@ysm.com
ORD-20230136,2023-01-17,2023-01-20,First Class,CUST-1009,PRD-106,West,India,2,311.57,0.2,498.51,480,18.51,UPI,Returned,west.manager@ysm.com
ORD-20230137,2024-07-13,2024-07-16,Second Class,CUST-1083,PRD-103,Europe,UK,8,1132.86,0.15,7703.45,6400,1303.45,UPI,Delivered,eu.manager@ysm.com
ORD-20230138,2024-04-13,2024-04-14,First Class,CUST-1038,PRD-104,South,India,4,75.53,0.0,302.12,240,62.12,Net Banking,Delivered,south.manager@ysm.com
ORD-20230139,2024-07-10,2024-07-14,First Class,CUST-1033,PRD-101,Europe,Germany,4,1190.56,0.1,4286.02,3400,886.02,Credit Card,Delivered,eu.manager@ysm.com
ORD-20230140,2023-12-06,2023-12-09,Same Day,CUST-1016,PRD-113,Europe,UK,7,595.62,0.15,3543.94,3150,393.94,Net Banking,Delivered,eu.manager@ysm.com
ORD-20230141,2024-05-23,2024-05-29,Standard Class,CUST-1064,PRD-106,South,India,9,344.37,0.1,2789.4,2160,629.4,Debit Card,Delivered,south.manager@ysm.com
ORD-20230142,2024-09-08,2024-09-10,First Class,CUST-1070,PRD-105,North,India,2,92.0,0.1,165.6,140,25.6,Net Banking,Delivered,north.manager@ysm.com
ORD-20230143,2024-03-12,2024-03-14,Same Day,CUST-1089,PRD-108,North,India,1,99.02,0.1,89.12,75,14.12,Net Banking,Delivered,north.manager@ysm.com
ORD-20230144,2023-02-28,2023-03-01,Standard Class,CUST-1086,PRD-111,North,India,9,292.87,0.05,2504.04,1980,524.04,UPI,Delivered,north.manager@ysm.com
ORD-20230145,2024-11-25,2024-11-29,Same Day,CUST-1005,PRD-103,South,India,6,1010.76,0.1,5458.1,4800,658.1,Cash on Delivery,Returned,south.manager@ysm.com
ORD-20230146,2023-06-07,2023-06-13,Second Class,CUST-1058,PRD-106,North,India,2,317.86,0.2,508.58,480,28.58,Cash on Delivery,Delivered,north.manager@ysm.com
ORD-20230147,2023-11-18,2023-11-24,Same Day,CUST-1036,PRD-104,Asia-Pac,Singapore,1,86.53,0.05,82.2,60,22.2,Cash on Delivery,Delivered,apac.manager@ysm.com
ORD-20230148,2024-07-29,2024-07-30,First Class,CUST-1034,PRD-113,US-West,USA,8,585.93,0.05,4453.07,3600,853.07,Debit Card,Delivered,us.manager@ysm.com
ORD-20230149,2023-05-19,2023-05-20,First Class,CUST-1058,PRD-103,North,India,8,1143.79,0.0,9150.32,6400,2750.32,Net Banking,Delivered,north.manager@ysm.com
ORD-20230150,2024-07-17,2024-07-22,First Class,CUST-1038,PRD-115,South,India,3,45.85,0.05,130.67,105,25.67,Cash on Delivery,Delivered,south.manager@ysm.com
ORD-20230151,2023-07-25,2023-07-27,First Class,CUST-1031,PRD-113,US-West,USA,6,606.96,0.2,2913.41,2700,213.41,Debit Card,Delivered,us.manager@ysm.com
ORD-20230152,2024-07-18,2024-07-20,Same Day,CUST-1079,PRD-115,US-West,USA,5,44.35,0.15,188.49,175,13.49,Cash on Delivery,Delivered,us.manager@ysm.com
ORD-20230153,2024-02-24,2024-02-29,Same Day,CUST-1010,PRD-103,East,India,2,1155.58,0.15,1964.49,1600,364.49,Cash on Delivery,Delivered,east.manager@ysm.com
