IncidentID,Timestamp,SourceIP,DestinationServer,AttackerCountry,AttackType,Severity,Status,ResponseTimeMinutes,FirewallAction
SEC-INC-50068,2024-07-20 03:41:18,101.188.211.226,SRV-PROD-05,Unknown,Brute Force SSH,Low,Investigating,,Alerted
SEC-INC-50069,2024-11-22 10:29:07,197.74.188.1,SRV-PROD-02,USA,Malware Infiltration,High,Mitigated,83,Blocked
SEC-INC-50070,2024-12-18 08:41:16,88.81.175.18,SRV-PROD-03,USA,SQL Injection,High,Investigating,,Blocked
SEC-INC-50071,2024-01-07 17:16:46,154.86.6.46,SRV-PROD-05,China,Brute Force SSH,Medium,Resolved,157,Alerted
SEC-INC-50072,2024-08-30 21:13:55,45.126.224.64,SRV-PROD-08,China,Phishing Attempt,High,False Positive,63,Blocked
SEC-INC-50073,2024-09-25 18:19:08,87.194.38.199,SRV-PROD-02,China,SQL Injection,High,False Positive,120,Blocked
SEC-INC-50074,2024-09-08 12:46:17,184.66.170.125,SRV-PROD-05,India,DDoS Attack,Low,False Positive,82,Blocked
SEC-INC-50075,2024-06-19 18:51:13,214.220.222.231,SRV-PROD-08,China,SQL Injection,Medium,Resolved,42,Alerted
SEC-INC-50076,2024-04-22 05:09:24,136.128.8.63,SRV-PROD-07,India,Brute Force SSH,Medium,Investigating,,Alerted
SEC-INC-50077,2024-11-23 03:55:46,115.225.161.174,SRV-PROD-08,USA,SQL Injection,High,False Positive,89,Blocked
SEC-INC-50078,2024-07-19 21:27:00,151.242.255.71,SRV-PROD-05,Brazil,Phishing Attempt,Medium,False Positive,161,Allowed
SEC-INC-50079,2024-08-09 16:34:01,190.248.203.203,SRV-PROD-06,Germany,Phishing Attempt,Critical,Mitigated,180,Blocked
SEC-INC-50080,2024-03-16 16:58:41,219.39.134.248,SRV-PROD-05,USA,SQL Injection,Medium,Resolved,80,Allowed
SEC-INC-50081,2024-08-20 01:29:27,100.73.212.152,SRV-PROD-02,Russia,DDoS Attack,Low,Mitigated,95,Blocked
SEC-INC-50082,2024-01-01 01:49:00,109.36.90.225,SRV-PROD-05,USA,Phishing Attempt,Medium,Investigating,,Blocked
SEC-INC-50083,2024-04-10 15:43:49,194.236.21.75,SRV-PROD-04,Russia,DDoS Attack,Critical,Investigating,,Blocked
SEC-INC-50084,2024-12-13 23:11:38,143.109.103.248,SRV-PROD-02,Germany,SQL Injection,Medium,Investigating,,Blocked
SEC-INC-50085,2024-08-11 11:44:28,193.36.175.197,SRV-PROD-04,Germany,Brute Force SSH,Medium,Investigating,,Alerted
SEC-INC-50086,2024-06-05 03:06:59,121.146.238.161,SRV-PROD-08,USA,DDoS Attack,High,Mitigated,29,Blocked
SEC-INC-50087,2024-03-11 19:10:18,158.178.81.129,SRV-PROD-06,Unknown,SQL Injection,Medium,Mitigated,110,Alerted
SEC-INC-50088,2024-01-15 20:20:57,51.246.197.108,SRV-PROD-02,USA,Malware Infiltration,High,Investigating,,Blocked
SEC-INC-50089,2024-10-24 18:38:55,140.33.159.140,SRV-PROD-05,Russia,DDoS Attack,Low,Resolved,123,Blocked
SEC-INC-50090,2024-08-23 01:58:43,66.15.70.213,SRV-PROD-02,India,Malware Infiltration,Low,False Positive,149,Alerted
SEC-INC-50091,2024-12-19 12:03:45,60.32.190.150,SRV-PROD-01,Brazil,Malware Infiltration,Low,Mitigated,39,Allowed
SEC-INC-50092,2024-12-11 23:17:22,84.78.161.80,SRV-PROD-01,Unknown,Malware Infiltration,Medium,Resolved,22,Allowed
SEC-INC-50093,2024-03-19 21:59:00,75.134.25.64,SRV-PROD-04,China,DDoS Attack,Low,Mitigated,105,Allowed
SEC-INC-50094,2024-03-03 10:55:11,148.124.252.48,SRV-PROD-04,Germany,Malware Infiltration,Medium,Resolved,115,Allowed
SEC-INC-50095,2024-11-21 00:47:18,92.37.210.191,SRV-PROD-04,USA,Malware Infiltration,Medium,Investigating,,Alerted
SEC-INC-50096,2024-09-02 10:33:35,119.171.26.246,SRV-PROD-08,India,Privilege Escalation,Low,Mitigated,32,Alerted
SEC-INC-50097,2024-08-01 15:28:03,82.8.73.118,SRV-PROD-02,Netherlands,Phishing Attempt,Medium,Resolved,170,Blocked
SEC-INC-50098,2024-12-02 22:34:08,158.11.233.233,SRV-PROD-06,USA,DDoS Attack,High,Mitigated,75,Blocked
SEC-INC-50099,2024-01-05 05:45:50,136.129.220.221,SRV-PROD-04,India,Privilege Escalation,Medium,Resolved,49,Blocked
SEC-INC-50100,2024-03-18 12:48:39,212.185.145.87,SRV-PROD-08,USA,SQL Injection,High,False Positive,105,Blocked
SEC-INC-50101,2024-02-04 23:29:19,168.97.247.121,SRV-PROD-03,Germany,Brute Force SSH,Medium,False Positive,154,Blocked
SEC-INC-50102,2024-07-25 02:27:36,56.8.219.188,SRV-PROD-03,Brazil,Phishing Attempt,Medium,Mitigated,178,Alerted
SEC-INC-50103,2024-06-14 08:25:47,105.27.231.226,SRV-PROD-03,Netherlands,DDoS Attack,High,Resolved,161,Blocked
SEC-INC-50104,2024-05-08 04:10:04,54.217.192.19,SRV-PROD-08,India,Malware Infiltration,Medium,Resolved,49,Alerted
SEC-INC-50105,2024-02-25 16:21:58,141.35.254.164,SRV-PROD-04,Brazil,SQL Injection,Medium,False Positive,62,Allowed
SEC-INC-50106,2024-03-23 15:48:13,180.208.203.50,SRV-PROD-02,Russia,Privilege Escalation,Critical,Resolved,57,Blocked
SEC-INC-50107,2024-01-18 05:07:03,46.93.199.105,SRV-PROD-02,India,Brute Force SSH,Medium,Mitigated,53,Allowed
SEC-INC-50108,2024-10-19 17:14:53,173.91.92.159,SRV-PROD-03,China,DDoS Attack,Medium,Mitigated,23,Blocked
SEC-INC-50109,2024-02-10 04:37:51,177.77.26.31,SRV-PROD-08,Brazil,Phishing Attempt,Medium,False Positive,10,Allowed
SEC-INC-50110,2024-05-28 09:09:09,144.181.92.18,SRV-PROD-03,Germany,Phishing Attempt,Medium,Investigating,,Blocked
SEC-INC-50111,2024-11-08 18:12:22,124.103.159.15,SRV-PROD-02,Unknown,SQL Injection,Medium,Resolved,91,Alerted
SEC-INC-50112,2024-05-13 07:18:01,130.228.196.16,SRV-PROD-03,Brazil,Malware Infiltration,High,False Positive,174,Blocked
SEC-INC-50113,2024-02-01 08:34:42,171.19.207.243,SRV-PROD-01,India,Phishing Attempt,Critical,Resolved,146,Blocked
SEC-INC-50114,2024-09-02 04:42:49,114.186.11.27,SRV-PROD-01,Unknown,Malware Infiltration,Low,False Positive,115,Alerted
SEC-INC-50115,2024-06-04 08:17:32,50.239.15.7,SRV-PROD-04,Netherlands,Privilege Escalation,Medium,Resolved,146,Alerted
SEC-INC-50116,2024-01-27 14:05:41,141.179.33.111,SRV-PROD-07,USA,Phishing Attempt,Medium,False Positive,95,Allowed
SEC-INC-50117,2024-06-24 15:53:36,59.61.60.24,SRV-PROD-01,Brazil,DDoS Attack,Medium,Resolved,8,Blocked
SEC-INC-50118,2024-05-07 02:04:15,64.15.33.113,SRV-PROD-03,Germany,Phishing Attempt,Low,Investigating,,Alerted
SEC-INC-50119,2024-03-07 22:04:05,146.123.169.32,SRV-PROD-02,China,SQL Injection,Critical,Investigating,,Blocked
SEC-INC-50120,2024-09-10 12:59:47,101.114.183.78,SRV-PROD-06,Germany,Privilege Escalation,Low,False Positive,86,Blocked
SEC-INC-50121,2024-10-04 18:19:47,71.14.89.231,SRV-PROD-07,Unknown,SQL Injection,Low,Investigating,,Blocked
SEC-INC-50122,2024-04-28 11:06:08,186.54.32.96,SRV-PROD-03,Russia,Brute Force SSH,Medium,Mitigated,34,Allowed
SEC-INC-50123,2024-09-12 01:13:44,114.72.151.99,SRV-PROD-05,China,Phishing Attempt,Low,Mitigated,131,Allowed
SEC-INC-50124,2024-07-14 14:00:18,158.12.58.53,SRV-PROD-07,USA,Privilege Escalation,Medium,Resolved,174,Alerted
SEC-INC-50125,2024-01-17 19:43:01,134.240.7.233,SRV-PROD-06,Germany,Malware Infiltration,Low,Resolved,92,Blocked
SEC-INC-50126,2024-11-14 15:48:15,154.201.187.238,SRV-PROD-01,China,Malware Infiltration,Low,False Positive,141,Alerted
SEC-INC-50127,2024-08-05 20:50:52,190.197.133.67,SRV-PROD-03,Netherlands,DDoS Attack,Medium,Investigating,,Allowed
SEC-INC-50128,2024-01-08 10:13:11,219.244.71.22,SRV-PROD-04,Germany,SQL Injection,Medium,Resolved,162,Alerted
SEC-INC-50129,2024-07-04 09:47:05,213.65.201.168,SRV-PROD-01,China,SQL Injection,Medium,False Positive,72,Allowed
SEC-INC-50130,2024-08-15 16:50:50,49.113.3.120,SRV-PROD-01,India,DDoS Attack,Medium,Investigating,,Alerted
SEC-INC-50131,2024-01-30 21:06:05,65.71.230.157,SRV-PROD-06,China,DDoS Attack,Low,False Positive,71,Alerted
SEC-INC-50132,2024-03-06 08:16:48,206.45.38.224,SRV-PROD-01,Brazil,Phishing Attempt,Medium,Investigating,,Blocked
SEC-INC-50133,2024-09-16 16:01:52,193.82.11.142,SRV-PROD-04,Russia,Privilege Escalation,Critical,False Positive,9,Blocked
SEC-INC-50134,2024-12-13 12:51:52,183.184.12.154,SRV-PROD-04,India,Phishing Attempt,Low,Mitigated,33,Blocked
SEC-INC-50135,2024-02-09 08:37:41,97.84.147.96,SRV-PROD-07,China,Privilege Escalation,Medium,False Positive,41,Allowed
SEC-INC-50136,2024-06-16 22:05:56,137.86.250.105,SRV-PROD-06,Unknown,SQL Injection,Medium,Investigating,,Alerted
SEC-INC-50137,2024-01-23 10:35:25,83.234.152.7,SRV-PROD-02,Brazil,SQL Injection,Medium,False Positive,60,Alerted
SEC-INC-50138,2024-10-25 01:11:12,213.186.39.98,SRV-PROD-02,China,Brute Force SSH,Medium,Mitigated,142,Blocked
SEC-INC-50139,2024-03-03 19:12:54,58.156.121.169,SRV-PROD-08,India,SQL Injection,Low,False Positive,67,Alerted
SEC-INC-50140,2024-05-04 13:10:43,104.117.81.192,SRV-PROD-02,Brazil,DDoS Attack,Medium,Mitigated,97,Allowed
SEC-INC-50141,2024-06-29 20:24:20,174.20.235.93,SRV-PROD-08,Brazil,DDoS Attack,High,Investigating,,Blocked
SEC-INC-50142,2024-10-18 04:33:40,182.63.199.233,SRV-PROD-07,USA,Malware Infiltration,Low,False Positive,92,Alerted
SEC-INC-50143,2024-03-01 02:58:03,149.108.130.252,SRV-PROD-03,Unknown,Privilege Escalation,High,Investigating,,Blocked
SEC-INC-50144,2024-04-02 16:31:55,48.43.31.108,SRV-PROD-05,Unknown,Privilege Escalation,Low,Resolved,115,Allowed
SEC-INC-50145,2024-12-19 06:04:40,63.34.132.222,SRV-PROD-07,Netherlands,SQL Injection,Low,Investigating,,Blocked
SEC-INC-50146,2024-05-30 04:20:01,131.230.212.230,SRV-PROD-06,China,Privilege Escalation,Low,False Positive,119,Alerted
SEC-INC-50147,2024-11-18 16:22:30,156.75.194.123,SRV-PROD-03,USA,Privilege Escalation,High,Resolved,43,Blocked
SEC-INC-50148,2024-01-04 21:36:38,196.95.173.167,SRV-PROD-08,Netherlands,SQL Injection,Medium,False Positive,29,Allowed
SEC-INC-50149,2024-06-01 17:57:36,132.13.145.133,SRV-PROD-07,Germany,SQL Injection,Low,Investigating,,Allowed
SEC-INC-50150,2024-01-22 07:40:14,155.133.72.148,SRV-PROD-06,China,SQL Injection,Low,Resolved,78,Alerted
SEC-INC-50151,2024-09-06 15:58:49,102.227.44.74,SRV-PROD-05,China,Brute Force SSH,Medium,Investigating,,Allowed
SEC-INC-50152,2024-04-15 20:06:13,175.194.44.8,SRV-PROD-01,Brazil,Phishing Attempt,Medium,Resolved,99,Allowed
SEC-INC-50153,2024-05-24 20:47:43,154.188.114.134,SRV-PROD-03,Unknown,SQL Injection,High,Resolved,118,Blocked
SEC-INC-50154,2024-08-09 17:57:31,112.23.222.36,SRV-PROD-05,China,SQL Injection,High,Investigating,,Blocked
SEC-INC-50155,2024-02-08 11:54:35,85.130.86.71,SRV-PROD-08,China,Privilege Escalation,Medium,Resolved,115,Allowed
SEC-INC-50156,2024-12-27 18:58:47,126.49.216.143,SRV-PROD-01,Russia,Brute Force SSH,Low,Mitigated,61,Blocked
SEC-INC-50157,2024-04-10 09:39:31,165.39.125.209,SRV-PROD-03,Unknown,SQL Injection,Low,Resolved,137,Blocked
SEC-INC-50158,2024-04-19 00:06:59,156.18.126.143,SRV-PROD-04,USA,Phishing Attempt,Medium,False Positive,162,Alerted
SEC-INC-50159,2024-11-19 21:15:32,105.164.90.124,SRV-PROD-03,Germany,Brute Force SSH,High,Mitigated,130,Blocked
SEC-INC-50160,2024-11-18 14:16:47,198.92.140.124,SRV-PROD-05,China,Brute Force SSH,Low,False Positive,112,Alerted
SEC-INC-50161,2024-06-15 09:00:26,214.109.30.46,SRV-PROD-08,India,Privilege Escalation,Low,Mitigated,37,Alerted
SEC-INC-50162,2024-09-07 21:53:01,150.176.61.8,SRV-PROD-05,Germany,Malware Infiltration,Low,Mitigated,20,Blocked
SEC-INC-50163,2024-06-14 09:31:29,217.82.106.101,SRV-PROD-08,Netherlands,DDoS Attack,Low,Resolved,73,Alerted
SEC-INC-50164,2024-04-22 12:22:23,207.210.12.79,SRV-PROD-08,Netherlands,Brute Force SSH,Medium,Investigating,,Blocked
SEC-INC-50165,2024-04-15 22:45:57,73.243.248.158,SRV-PROD-06,USA,Malware Infiltration,Medium,Resolved,102,Allowed
SEC-INC-50166,2024-12-26 12:08:04,135.197.197.142,SRV-PROD-02,Russia,Malware Infiltration,Low,Investigating,,Allowed
SEC-INC-50167,2024-10-01 14:24:02,103.75.206.42,SRV-PROD-06,India,DDoS Attack,Low,Investigating,,Allowed
SEC-INC-50168,2024-01-19 00:43:45,179.27.129.102,SRV-PROD-08,Russia,Brute Force SSH,Low,Resolved,63,Blocked
SEC-INC-50169,2024-12-18 09:00:15,53.70.192.32,SRV-PROD-07,Netherlands,Brute Force SSH,High,False Positive,26,Blocked
SEC-INC-50170,2024-02-09 02:41:24,174.185.181.196,SRV-PROD-07,Russia,Phishing Attempt,Medium,Investigating,,Allowed
SEC-INC-50171,2024-10-28 14:14:25,94.213.156.220,SRV-PROD-05,India,DDoS Attack,Medium,Resolved,82,Alerted
SEC-INC-50172,2024-08-22 07:22:43,70.68.249.168,SRV-PROD-08,Netherlands,SQL Injection,Medium,Investigating,,Alerted
SEC-INC-50173,2024-10-14 10:08:31,168.73.233.180,SRV-PROD-04,Netherlands,Phishing Attempt,Critical,Mitigated,100,Blocked
SEC-INC-50174,2024-10-06 03:56:35,160.58.148.250,SRV-PROD-01,Netherlands,Brute Force SSH,Medium,Mitigated,149,Allowed
SEC-INC-50175,2024-11-25 11:18:32,130.37.208.162,SRV-PROD-02,China,Malware Infiltration,Low,Mitigated,156,Allowed
SEC-INC-50176,2024-02-12 05:08:44,148.158.215.122,SRV-PROD-04,Russia,DDoS Attack,Low,False Positive,91,Allowed
SEC-INC-50177,2024-01-19 11:42:12,189.154.105.224,SRV-PROD-01,Germany,Privilege Escalation,Low,Mitigated,144,Alerted
SEC-INC-50178,2024-06-09 23:44:20,105.83.119.182,SRV-PROD-08,China,Phishing Attempt,Medium,Resolved,101,Allowed
SEC-INC-50179,2024-01-07 05:54:05,178.192.32.43,SRV-PROD-04,Unknown,Phishing Attempt,Low,Mitigated,131,Allowed
SEC-INC-50180,2024-11-16 19:05:58,169.36.192.224,SRV-PROD-07,Netherlands,Phishing Attempt,Low,Mitigated,80,Blocked
SEC-INC-50181,2024-12-12 09:52:14,178.83.158.228,SRV-PROD-06,USA,Brute Force SSH,Low,Investigating,,Blocked
SEC-INC-50182,2024-12-31 13:31:00,177.155.65.121,SRV-PROD-08,Brazil,SQL Injection,High,Investigating,,Blocked
SEC-INC-50183,2024-03-25 19:05:31,166.3.82.107,SRV-PROD-03,USA,DDoS Attack,Low,Resolved,84,Blocked
SEC-INC-50184,2024-04-06 07:15:18,69.138.118.85,SRV-PROD-02,Russia,Malware Infiltration,Medium,Investigating,,Allowed
SEC-INC-50185,2024-06-28 23:10:06,188.227.58.89,SRV-PROD-01,Brazil,SQL Injection,Low,Mitigated,154,Blocked
SEC-INC-50186,2024-06-05 13:22:19,204.197.104.240,SRV-PROD-05,Brazil,Phishing Attempt,Medium,Resolved,60,Alerted
SEC-INC-50187,2024-04-01 09:34:23,189.27.33.205,SRV-PROD-07,India,Malware Infiltration,High,False Positive,162,Blocked
SEC-INC-50188,2024-12-08 17:14:10,98.44.1.201,SRV-PROD-04,Brazil,Phishing Attempt,High,Investigating,,Blocked
SEC-INC-50189,2024-03-14 06:00:03,166.224.1.83,SRV-PROD-02,Russia,Brute Force SSH,Medium,Mitigated,113,Blocked
SEC-INC-50190,2024-08-29 11:54:32,122.129.195.31,SRV-PROD-04,Netherlands,DDoS Attack,High,Mitigated,95,Blocked
SEC-INC-50191,2024-06-08 19:00:17,126.136.21.227,SRV-PROD-04,USA,Privilege Escalation,High,Investigating,,Blocked
SEC-INC-50192,2024-08-11 20:24:24,158.126.178.202,SRV-PROD-05,China,Malware Infiltration,High,False Positive,50,Blocked
SEC-INC-50193,2024-01-13 13:18:51,164.198.172.89,SRV-PROD-07,Brazil,Malware Infiltration,Medium,Investigating,,Alerted
SEC-INC-50194,2024-07-10 06:31:02,47.51.114.93,SRV-PROD-04,Russia,Malware Infiltration,Low,Resolved,99,Alerted
SEC-INC-50195,2024-09-14 00:28:23,200.70.9.166,SRV-PROD-05,Unknown,DDoS Attack,Low,False Positive,75,Blocked
SEC-INC-50196,2024-01-30 20:49:56,52.221.184.238,SRV-PROD-08,Unknown,DDoS Attack,Low,Resolved,14,Alerted
SEC-INC-50197,2024-01-15 22:18:56,84.181.189.46,SRV-PROD-03,China,DDoS Attack,High,Resolved,19,Blocked
SEC-INC-50198,2024-08-15 23:12:35,60.81.25.220,SRV-PROD-05,Brazil,Privilege Escalation,Medium,Resolved,90,Blocked
SEC-INC-50199,2024-06-11 06:09:39,195.185.242.94,SRV-PROD-01,Netherlands,DDoS Attack,High,Resolved,21,Blocked
SEC-INC-50200,2024-04-08 18:15:35,82.187.69.22,SRV-PROD-03,Unknown,Phishing Attempt,Low,Investigating,,Blocked
SEC-INC-50201,2024-09-15 14:54:01,89.163.192.216,SRV-PROD-01,Germany,SQL Injection,Medium,Resolved,92,Alerted
SEC-INC-50202,2024-10-17 03:08:04,189.239.119.23,SRV-PROD-02,China,Brute Force SSH,Medium,Investigating,,Alerted
