ProductID,ProductName,Category,Region,Jan_Sales,Feb_Sales,Mar_Sales,Apr_Sales,May_Sales,Jun_Sales,Jul_Sales,Aug_Sales,Sep_Sales,Oct_Sales,Nov_Sales,Dec_Sales
PRD-112,Motorized Standing Desk,Office Supplies,West,13607,4683,17115,6556,4608,8357,4333,10234,12708,3499,11935,4878
PRD-112,Motorized Standing Desk,Office Supplies,South,12812,3778,2420,5951,6834,15045,11972,6942,14934,5922,10881,10404
PRD-112,Motorized Standing Desk,Office Supplies,East,12415,4405,9883,17359,13095,9696,3502,1071,5870,5803,11494,5842
PRD-113,Conference Room Table,Furniture,North,13799,15637,16677,3205,4708,15006,10125,5740,3963,11585,5179,6959
PRD-113,Conference Room Table,Furniture,West,13616,12554,11463,17194,14888,16770,14564,11926,5529,9057,13556,14718
PRD-113,Conference Room Table,Furniture,South,17289,17141,8540,13603,3739,14822,8187,3859,8706,12852,1093,7661
PRD-113,Conference Room Table,Furniture,East,1562,12875,16529,5377,4609,2952,12447,12824,5566,10656,16086,5723
PRD-114,Wooden 4-Tier Bookshelf,Furniture,North,14797,8946,7905,8359,2830,5515,4841,5688,13368,1863,14916,13179
PRD-114,Wooden 4-Tier Bookshelf,Furniture,West,2772,4473,3417,16624,6183,1989,5813,12968,5629,3588,9029,3525
PRD-114,Wooden 4-Tier Bookshelf,Furniture,South,1408,14647,5905,6977,16393,5591,10814,16407,14484,12053,15548,1432
PRD-114,Wooden 4-Tier Bookshelf,Furniture,East,10396,4645,6108,2966,2052,6687,17491,6254,1356,13988,14881,15886
PRD-115,Smart LED Desk Lamp,Furniture,North,9455,17445,11028,8448,14882,6138,9907,4012,13371,5100,7942,14120
PRD-115,Smart LED Desk Lamp,Furniture,West,2834,8173,13854,7019,3529,16349,16643,11262,14274,13467,6400,2791
PRD-115,Smart LED Desk Lamp,Furniture,South,13172,14900,7380,9844,4552,4420,3549,12885,11992,1919,8848,10247
PRD-115,Smart LED Desk Lamp,Furniture,East,6333,4488,3140,7943,1359,11129,7151,7610,2060,8875,9820,3786
